Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeTuning,altitudeTuningSetpoint,xTrackError,flightDistance,flightTime,distanceToHome,missionItemIndex,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2022-11-06 11:07:28.036,-1.3,1.6,190,0.0,0.0,0.0,0.0,0.0,0.000,-0.0,1.2,0.0,0.000,0.000,0.000,0.0,00:00:17,0.0,0,--.--,0,0.0,0,0000:02:54,0,0,0,12.41,0.49,66,--.--,97,--.--,--:--:--,1,6.08,11:07:28,06-11-2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,100.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,44.04,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-06 11:07:29.037,-1.3,1.6,190,0.0,0.0,0.0,0.0,0.0,0.000,-0.0,0.7,0.0,0.000,0.000,0.000,0.0,00:00:17,0.0,0,--.--,0,0.0,0,0000:02:54,0,0,0,12.40,0.49,67,--.--,97,--.--,--:--:--,1,6.08,11:07:29,06-11-2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,100.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,44.04,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-06 11:07:30.044,-1.3,1.6,190,0.0,0.0,0.0,0.0,0.0,0.000,-0.0,0.8,0.0,0.000,0.000,0.000,0.0,00:00:17,0.0,0,--.--,0,0.0,0,0000:02:54,0,0,0,12.40,0.48,67,--.--,97,--.--,--:--:--,1,5.95,11:07:30,06-11-2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,100.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,44.04,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-06 11:07:31.043,-1.3,1.6,190,0.0,0.0,0.0,0.0,0.0,0.000,-0.0,0.8,0.0,0.000,0.000,0.000,0.0,00:00:17,0.0,0,--.--,0,0.0,0,0000:02:54,0,0,0,12.41,0.48,67,--.--,97,--.--,--:--:--,1,5.96,11:07:31,06-11-2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,100.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,44.04,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-06 11:07:32.043,-1.3,1.6,190,0.0,0.0,0.0,0.0,0.0,0.000,-0.0,1.1,0.0,0.000,0.000,0.000,0.0,00:00:17,0.0,0,--.--,0,0.0,0,0000:02:54,0,0,0,12.40,0.48,67,--.--,97,--.--,--:--:--,1,5.95,11:07:32,06-11-2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,100.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,44.05,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-06 11:07:33.039,-1.3,1.6,190,0.0,0.0,0.0,0.0,0.0,0.000,0.0,1.1,0.0,0.000,0.000,0.000,0.0,00:00:17,0.0,0,--.--,0,0.0,0,0000:02:54,0,0,0,12.41,0.48,67,--.--,97,--.--,--:--:--,1,5.96,11:07:33,06-11-2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,100.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,44.05,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-06 11:07:34.044,-1.3,1.6,190,0.0,0.0,0.0,0.0,0.0,0.000,0.0,1.3,0.0,0.000,0.000,0.000,0.0,00:00:17,0.0,0,--.--,0,0.0,0,0000:02:54,0,0,0,12.41,0.49,67,--.--,97,--.--,--:--:--,1,6.08,11:07:34,06-11-2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,100.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,44.05,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-06 11:07:35.042,-1.3,1.6,190,0.0,0.0,0.0,0.0,0.0,0.000,0.0,1.2,0.0,0.000,0.000,0.000,0.0,00:00:17,0.0,0,--.--,0,0.0,0,0000:02:54,0,0,0,12.41,0.49,67,--.--,97,--.--,--:--:--,1,6.08,11:07:35,06-11-2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,100.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,44.06,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-06 11:07:36.060,-1.3,1.6,190,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.9,0.0,0.000,0.000,0.000,0.0,00:00:17,0.0,0,--.--,0,0.0,0,0000:02:54,0,0,0,12.41,0.49,68,--.--,97,--.--,--:--:--,1,6.08,11:07:36,06-11-2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,100.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,44.06,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2022-11-06 11:07:37.044,-1.3,1.6,190,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.8,0.0,0.000,0.000,0.000,0.0,00:00:17,0.0,0,--.--,0,0.0,0,0000:02:54,0,0,0,12.40,0.49,68,--.--,97,--.--,--:--:--,1,6.08,11:07:37,06-11-2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,100.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,44.06,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
